lat,lon,wait
-43.59079839072683,172.56809556479618,18.0
-43.54584797688851,172.50573956961958,15.0
-43.46417581839698,172.58482718467678,30.0
-43.43791222101971,172.63706588745353,30.0
-43.3164979884188,172.668085098267,20.0
-43.28537350662463,-65.26445770263639,5.0
-43.26561228478105,170.2404423952155,45.0
-42.89466184980014,-65.02945970635987,150.0
-42.8775286993054,147.329511344433,25.0
-42.87115183813786,147.32262933254304,15.0
-42.8547634429018,147.391821742058,15.0
-42.82631381424677,147.28102879586575,5.0
-42.78867297825567,-65.04025291543589,5.0
-42.77798428491882,147.070709640052,20.0
-42.771476987968015,-65.05881965160371,20.0
-42.7495707624888,147.223979830742,5.0
-42.741979532507585,-65.11281788349153,20.0
-42.70846072474067,146.89645850656697,10.0
-42.69389781609083,146.93770015238232,60.0
-42.68575939215097,146.59306848047154,20.0
-42.68198160242796,146.7036613225784,20.0
-42.5100864594207,147.90784978864494,40.0
-42.501856757680436,147.91336441038558,45.0
-42.469544410565284,171.19000339510376,15.0
-42.44526357133786,171.2166162729233,15.0
-42.12838224268697,148.07412528990417,10.0
-42.0707157077556,171.368423938777,240.0
-42.05838620385557,-71.59769654273988,10.0
-41.92833149303117,147.49388301366216,13.0
-41.923047155360024,-71.52884101867657,10.0
-41.904556511837306,171.43775367735267,120.0
-41.87834028168434,148.30368483065894,20.0
-41.69406683008921,172.61698687075682,5.0
-41.57887157069895,147.17736089224556,10.0
-41.54547230838884,147.2058191299258,30.0
-41.53159536232966,147.18693101400552,5.0
-41.513725090021,173.97276380564,45.0
-41.46479503789518,-72.98062419891424,5.0
-41.451106148129,147.139790654182,10.0
-41.44551275586911,147.13907504079023,60.0
-41.436029220124,173.96441955568,38.0
-41.39016701612388,146.3256039619315,30.0
-41.38493493206203,146.34455108641316,15.0
-41.33054866773007,148.24787342547205,45.0
-41.299211807322,173.99862670896,15.0
-41.297881762260566,174.7753846049204,8.0
-41.265160251636516,172.8215160370054,180.0
-41.26466226723194,173.2847979068709,43.0
-41.185577765051306,146.32008934019987,30.0
-41.17995768767863,146.36914621330308,20.0
-41.17240376257639,-71.33693036529472,5.0
-41.05606714910098,144.6731700897069,60.0
-41.032277473875524,-71.15522003173884,5.0
-40.865482669596,172.81167297305,10.0
-40.73488856923101,-72.30860745906375,5.0
-40.71346352630995,-65.00614857673945,15.0
-40.7029297492667,-64.99393165111543,45.0
-40.70271181753302,-64.99386405944652,20.0
-40.691313980971906,-71.69677734375001,20.0
-40.583285524057125,-73.09415674208972,15.0
-40.2219823215083,175.422649383545,10.0
-40.04853184857669,-70.07730245590211,10.0
-39.28114684557076,-71.97788572311461,10.0
-39.27558251556713,-72.22945547103868,20.0
-39.07811084536729,175.80874049657314,30.0
-39.002351781910626,-67.84790611267269,5.0
-38.96991944725029,-64.08122634887877,98.0
-38.95912514168823,-68.10652256011964,5.0
-38.915895498183666,-72.62435173987855,20.0
-38.88912675421337,-70.0310128927231,15.0
-38.75840427480286,143.67051208016915,30.0
-38.74918436142291,-70.02540707588197,30.0
-38.73990405993231,176.07228899002217,60.0
-38.70808051574201,-68.16673815250398,30.0
-38.705104122618,-62.33970880508309,96.0
-38.6956648871612,176.079339981079,20.0
-38.50595542246873,-70.47293901443483,10.0
-38.46836999539094,144.0868767499692,5.0
-38.20061770923055,146.52966105937503,23.0
-38.19785852769411,144.34226596353247,30.0
-38.085441003617106,145.77464270592438,10.0
-38.0718623859781,145.488461852074,33.0
-38.07009189871732,145.38654382527784,5.0
-38.00802681921488,-57.728770828247995,10.0
-37.95854874029511,145.22642015656123,20.0
-37.88287883320052,145.09130033849607,20.0
-37.82292961370718,144.9782284647204,60.0
-37.82045455637063,147.64870816466293,45.0
-37.79473712581652,144.99423956871973,10.0
-37.73347533823464,144.66797771714067,5.0
