
{Z-NL  +02 D   +02 DK  +02 S   +02
  1,   47,  ! 5,        ,       ,       ,  ,   !B,   D,        , !,  1.17,  1.27,

{Z-NL  +02 D   +02 DK  +02 S   +02 N   +02 SF  +03 F   +02
  2,    1,    1,     3.2,   0.05,   38.4, NL,  V,    NL,       ,  ,  8.02,  8.07, 1982-06-09,  63259.4, q-, De Bilt                                         , exit Amersfoort
  2,    2,    1,    12.0,   0.14,   51.4, NL,  -,    NL,   0.04,  ,  8.11,  8.25,           ,    900.0, t-, exit Amersfoort                                 , Amersfoort
  2,    3,    1,    68.0,   0.38,  107.4, NL,  -,    NL,   0.06,  ,  8.31,  9.09,           ,  71651.0, t-, Amersfoort                                      , Zwolle
  2,    4,    1,    71.0,   0.53,   80.4, NL,  -,    NL,   1.21,  , 10.30, 11.23,           ,  94090.0, t-, Zwolle                                          , Emmen
  2,    5,    1,    12.0,   0.07,  102.9, NL,  -,    NL,   0.27,  , 11.50, 11.57,           ,    671.0, t-, Emmen                                           , Ter Apel
  2,    6,    1,     5.0,   0.04,   75.0, NL,  V,    NL,   0.08,  , 12.05, 12.09,           ,    347.0, t-, Ter Apel                                        , Ter Apel
  2,    7,    1,     2.0,   0.02,   60.0, NL,  -,    NL,   0.24,  , 12.33, 12.35,           ,  97842.0, t-, Ter Apel                                        , Border (NL-D)

  2,    8,    1,   138.0,   2.08,   64.7, NL,  T,    D,    0.27,  , 13.02, 15.10,           , 215719.0, tB, Border (D-NL)                                   , Delmenhorst
{I W

  2,    9,    1,    21.0,   0.12,  105.0, D,   -,    D,    0.15,  , 15.25, 15.37,           ,    922.0, t-, Delmenhorst                                     , Kreuz Bremen
  2,   10,    1,   129.0,   0.59,  131.2, D,   -,    D,    0.12,  , 15.49, 16.48,           ,    401.0, t-, Kreuz Bremen                                    , Raststätte Buddikate Ost
  2,   11,    1,   120.0,   1.06,  109.1, D,   E,    D,    1.41,  , 18.29, 19.40,           ,  46502.0, tR, Raststätte Buddikate Ost                       , Puttgarden
  2,   11,  ! 1,        ,       ,       ,  ,   !P,    ,        , !, 19.13, 19.18,

  2,   12,    2,    86.0,   1.06,   78.2, DK,  T,    DK,       ,  ,  6.22,  7.28, 1982-06-10, 434373.0, tF, Rødbyhavn                                      , Café after Bårse
{I F
  2,   13,    2,   108.0,   1.15,   86.4, NL,  T,    DK,   0.55,  ,  8.23,  9.38,           ,  20586.0, t-, Café after Bårse                              , exit Kokkedal
  2,   14,    2,    19.0,   0.16,   71.3, DK,  -,    DK,   0.15,  ,  9.53, 10.09,           ,    509.0, t-, exit Kokkedal                                   , Helsingør
  2,   15,    2,   159.0,   1.28,  108.4, S,   -,    S,    3:10,  , 13.19, 14.47,           ,   3474.0, tF, Helsingborg                                     , Åskloster
{I F
  2,   16,    2,    57.0,   0.29,  117.9, S,   -,    S,    0.14,  , 15.01, 15.30,           ,    458.0, t-, Åskloster                                      , Mölndal

  2,   17,    3,    20.4,   0.15,   81.6, S,   -,    S,        ,  , 10.36, 10.51, 1982-06-14,    600.4, t-, Mölndal                                        , Kungälv
  2,   18,    3,    19.0,   0.10,  114.0, S,   V,    S,    1.15,  , 12.06, 12.16,           ,    887.0, t-, Kungälv                                        , Stenungsund

  2,   19,    3,   221.0,   2.35,   85.5, N,   -,    *,        ,  , 12.53, 15.28,           ,  18931.0, t-, Stenungsund                                     , Rygge
  2,   19,   3a,   161.0,   1.55,       , N,   -,    S,    0.37, *,      ,      ,
  2,   19,   3b,    60.0,   0.40,       , N,   -,    N,        , *,      ,      ,
  2,   19,  ! 1,        ,       ,       ,  ,   !B,   S,        , !, 14.48,      ,

  2,   20,    3,    62.0,   0.53,   70.2, N,   -,    N,    2.00,  , 17.28, 18.21,           ,  20234.0, t-, Rygge                                           , Oslo

  2,   21,    4,     5.0,   0.07,   42.9, N,   -,    N,        ,  ,  9.42,  9.49, 1982-06-16,   3982.0, t-, Oslo                                            , Oslo
  2,   22,    4,    35.0,   0.22,   95.5, N,   -,    N,    0.49,  , 10.38, 11.00,           ,     12.0, t-, Oslo                                            , Gardermoen
  2,   23,    4,   298.9,   4.31,   66.2, N,   V,    N,    0.19,  , 11.19, 17.10,           ,  86141.7, t-, Gardermoen                                      , Dombås
  2,   23,  ! 1,        ,       ,       ,  ,   !M,    ,        , !, 13.25, 14.45,

  2,   24,    4,   198.1,   2.47,   71.2, N,   -,    N,    1.36,  , 18.46, 21.33,           ,    111.9, t-, Dombås                                         , Trondheim

  2,   25,    5,    95.0,   1.25,   67.1, N,   -,    N,        ,  , 10.00, 11.25, 1982-06-17,  36786.0, t-, Trondheim                                       , Røra
  2,   26,    5,    20.0,   0.16,   75.0, N,   V*,   N,    0.12,  , 11.37, 11.53,           ,    944.0, t-, Røra                                           , Steinkjer
