,trip,ride,short,long
558,164,14,https://goo.gl/maps/J9dAUYt3JEE2,"https://www.google.com/maps/dir/51.2157687,4.4470812/51.2078498,4.5481629/@51.2066676,4.4699771,13z/data=!4m2!4m1!3e0?shorturl=1"
559,164,15,https://goo.gl/maps/SDAf3VgTU8T2,"https://www.google.com/maps/dir/51.2078498,4.5481629/Michendorf-S%C3%BCd,+Germany/@51.7221985,5.8673731,7z/data=!4m9!4m8!1m0!1m5!1m1!1s0x47a88ae97246e06b:0xcb4faed00eab8038!2m2!1d13.0154171!2d52.3024806!3e0?shorturl=1"
560,164,16,https://goo.gl/maps/SzLwSPixfi82,"https://www.google.com/maps/dir/Michendorf-S%C3%BCd,+Germany/MOP+Krzy%C5%BCowniki,+Krzy%C5%BCowniki,+Poland/@52.2304357,14.0676115,8z/data=!4m14!4m13!1m5!1m1!1s0x47a88ae97246e06b:0xcb4faed00eab8038!2m2!1d13.0154171!2d52.3024806!1m5!1m1!1s0x47045819a36e7ed3:0xab09f5191837c562!2m2!1d17.0930134!2d52.3274357!3e0?shorturl=1"
561,164,17,https://goo.gl/maps/UWsJDNMxHKU2,"https://www.google.com/maps/dir/MOP+Krzy%C5%BCowniki,+Krzy%C5%BCowniki,+Poland/52.1543803,20.6854122/@52.1819373,17.7315306,8z/data=!4m9!4m8!1m5!1m1!1s0x47045819a36e7ed3:0xab09f5191837c562!2m2!1d17.0930134!2d52.3274357!1m0!3e0?shorturl=1"
562,164,18,https://goo.gl/maps/5arKosgLNZB2,"https://www.google.com/maps/dir/52.1543803,20.6854122/54.9342766,23.966047/@53.3558662,20.3140478,7z/data=!4m9!4m8!1m5!3m4!1m2!1d22.7957374!2d53.9643902!3s0x46e1ab16932329fb:0x42466d0642b6bc4a!1m0!3e0?shorturl=1"
563,164,19,https://goo.gl/maps/Q92v3V7i1uK2,"https://www.google.com/maps/dir/54.9342766,23.966047/54.6951385,25.278593/@54.8576665,24.3620337,10z/data=!4m9!4m8!1m5!3m4!1m2!1d25.1771687!2d54.668617!3s0x46dd930591c0b6c9:0x9506e9c961046120!1m0!3e0?shorturl=1"
565,165,2,https://goo.gl/maps/xf8DuEjo8fN2,"https://www.google.com/maps/dir/51.033509,3.6375684/50.0965452,8.3515463/@50.485005,4.8742917,8z/data=!3m1!4b1!4m2!4m1!3e0?shorturl=1"
566,165,3,https://goo.gl/maps/jencTvFZjJT2,"https://www.google.com/maps/dir/50.0965452,8.3515463/49.769087,10.470194/48.719958,11.4395085/48.1249606,11.7579989/@49.226352,9.198524,8z/data=!4m2!4m1!3e0?shorturl=1"
569,165,6,https://goo.gl/maps/54fpiGsUr2H2,"https://www.google.com/maps/dir/49.3560378,11.2042916/50.2869341,10.980454/@49.8220552,10.6564203,9z/data=!3m1!4b1!4m3!4m2!3e0!5i1?hl=en&shorturl=1"
570,165,7,https://goo.gl/maps/hKdML2exsJ72,"https://www.google.com/maps/dir/50.2871049,10.9773336/50.4354529,10.8850568/@50.3618364,10.8628478,12z/data=!3m1!4b1!4m2!4m1!3e0?hl=en&shorturl=1"
571,165,8,https://goo.gl/maps/frFJR9ySAU52,"https://www.google.com/maps/dir/50.435454,10.8851724/50.6416174,10.6902256/50.6388865,10.6953728/@50.5394215,10.6242251,11z/data=!3m1!4b1!4m2!4m1!3e0?hl=en&shorturl=1"
572,165,9,https://goo.gl/maps/toafKTq9kYU2,"https://www.google.com/maps/dir/50.6417,10.6904732/50.9718399,10.9759134/@50.8070062,10.7100208,11z/data=!3m1!4b1!4m2!4m1!3e0?hl=en&shorturl=1"
573,165,10,https://goo.gl/maps/uc34mucfVCK2,"https://www.google.com/maps/dir/50.9718399,10.9759134/50.8878876,10.9347295/@50.9295101,10.894858,12z/data=!3m1!4b1!4m2!4m1!3e0?hl=en&shorturl=1"
574,165,11,https://goo.gl/maps/xMWxNRirNM72,"https://www.google.com/maps/dir/50.8945023,10.9289461/SVG+Autohof-Gotha,+An+der+Bundesstra%C3%9Fe+247,+99869+Schwabhausen,+Germany/@50.8837169,10.7665068,12z/data=!4m9!4m8!1m0!1m5!1m1!1s0x47b8d5d6a6dd0fb1:0xa7459085268acc42!2m2!1d10.7256175!2d50.8977585!3e0?hl=en&shorturl=1"
575,165,12,https://goo.gl/maps/d1ogJGmH3LC2,"https://www.google.com/maps/dir/50.8997333,10.7288244/50.9483814,11.1931307/@50.9318639,10.8253343,11z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
576,165,13,https://goo.gl/maps/Xoqgj1YCP712,"https://www.google.com/maps/dir/50.9483814,11.1931307/BAT+Hermsdorfer+Kreuz+Ost,+Hermsdorfer+Kreuz+2,+07629+Hermsdorf,+Germany/@50.9220205,11.3619095,11z/data=!4m9!4m8!1m0!1m5!1m1!1s0x47a6b71ee0211cc1:0x167b55087629d93f!2m2!1d11.8504338!2d50.8706849!3e0?hl=en&shorturl=1"
577,165,14,https://goo.gl/maps/QowYAugoUQB2,"https://www.google.com/maps/dir/BAT+Hermsdorfer+Kreuz+Ost,+Hermsdorfer+Kreuz+2,+07629+Hermsdorf,+Germany/52.1309635,12.7519459/@51.4997773,11.7328856,9z/data=!3m1!4b1!4m9!4m8!1m5!1m1!1s0x47a6b71ee0211cc1:0x167b55087629d93f!2m2!1d11.8504338!2d50.8706849!1m0!3e0?hl=en&shorturl=1"
580,165,17,https://goo.gl/maps/WWz5578c9rP2,"https://www.google.com/maps/dir/51.6324061,7.8765226/51.209674,4.5475165/@51.3791973,4.8328794,8z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
582,165,19,https://goo.gl/maps/YNjPFKmPUx82,"https://www.google.com/maps/dir/51.1848974,4.2890292/51.3008934,3.0770188/@51.1650665,3.4004929,10z/data=!4m9!4m8!1m5!3m4!1m2!1d3.0816055!2d51.2991091!3s0x47c355517417ad7f:0xa66de0a3bd73d9f7!1m0!3e0?hl=en&shorturl=1"
585,166,3,https://goo.gl/maps/MkiiK986nhS2,"https://www.google.com/maps/dir/50.6546541,5.7085723/51.9038226,7.4892785/Dammer+Berge+Ost,+Vechta,+Germany/@51.5538581,5.7574306,8z/data=!4m20!4m19!1m10!3m4!1m2!1d7.1347682!2d51.0885025!3s0x47bf2a8118593bb7:0xde9b20026ce5e59e!3m4!1m2!1d7.1658445!2d51.751155!3s0x47b8f91a999804f9:0xf65c8b2490cda26!1m0!1m5!1m1!1s0x47b75b963be9226f:0xc68987d19c33c438!2m2!1d8.1144338!2d52.5388966!3e0?hl=en&shorturl=1"
586,166,4,https://goo.gl/maps/BzBjfMrLoCT2,"https://www.google.com/maps/dir/Dammer+Berge+Ost,+Vechta,+Germany/Rastst%C3%A4tte+Ostetal+S%C3%BCd,+Zur+Autobahn+2-4,+27419+Tiste,+Germany/@52.9689851,8.2862921,9z/data=!4m14!4m13!1m5!1m1!1s0x47b75b963be9226f:0xc68987d19c33c438!2m2!1d8.1144338!2d52.5388966!1m5!1m1!1s0x47b10be60b08a4f1:0xa80f5ee0f4f5570f!2m2!1d9.5341911!2d53.2991079!3e0?hl=en&shorturl=1"
587,166,5,https://goo.gl/maps/hFYV1XRJa5E2,"https://www.google.com/maps/dir/Rastst%C3%A4tte+Ostetal+S%C3%BCd,+Zur+Autobahn+2-4,+27419+Tiste,+Germany/55.6311297,12.657248/@54.5209128,10.0066838,8z/data=!4m19!4m18!1m15!1m1!1s0x47b10be60b08a4f1:0xa80f5ee0f4f5570f!2m2!1d9.5341911!2d53.2991079!3m4!1m2!1d9.4511789!2d55.3998177!3s0x464ca13066feff09:0x315cc3d7ce4658af!3m4!1m2!1d12.6402385!2d55.6300857!3s0x4653ab66072e21f5:0x1b0d974260e44061!1m0!3e0?hl=en&shorturl=1"
588,166,6,https://goo.gl/maps/BhQ5kK9xQ9J2,"https://www.google.com/maps/dir/55.6311297,12.657248/55.5555054,12.9544287/@55.5971055,12.7401525,12z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
589,166,7,https://goo.gl/maps/n1iwuPCqFeR2,"https://www.google.com/maps/dir/55.5555054,12.9544287/56.0425979,12.6967905/@55.7953076,12.5512663,10z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
590,166,8,https://goo.gl/maps/HNw9WL2He582,"https://www.google.com/maps/dir/56.0297365,12.6001376/55.7095108,12.4645764/@55.9046482,12.2813064,10z/data=!4m9!4m8!1m5!3m4!1m2!1d12.4569487!2d55.7414418!3s0x465251d22b1f66df:0x28264ce29e7c8292!1m0!3e0?hl=en&shorturl=1"
591,166,9,https://goo.gl/maps/Qyu9vGgoqYM2,"https://www.google.com/maps/dir/55.6025256,12.3017405/55.5615955,12.230428/@55.5808355,12.2304868,13z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
592,166,10,https://goo.gl/maps/FqQUhUxnAaP2,"https://www.google.com/maps/dir/55.5615955,12.230428/55.394392,10.1901271/@55.4287467,10.6498899,9z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
593,166,11,https://goo.gl/maps/RKCdfM6uBTF2,"https://www.google.com/maps/dir/Q8+Tankstation,+Northern+Europe,+Vissenbjerg,+Denmark/54.8162107,9.3609033/54.7949623,9.3792255/McDonald's+Restaurant/50.718531,6.1205079/50.654825,5.7111964/@53.194613,5.6093481,7z/data=!4m23!4m22!1m5!1m1!1s0x464cdd0bd8f29fcd:0x8d6624f471caef2b!2m2!1d10.190978!2d55.394395!1m0!1m0!1m10!1m1!1s0x0:0x2d9ca16647e7418e!2m2!1d7.7342631!2d52.147066!3m4!1m2!1d7.2875152!2d51.4359235!3s0x47b921b58146313b:0x31feb476fc5d6d40!1m0!1m0!3e0?hl=en&shorturl=1"
595,166,13,https://goo.gl/maps/cEbvcxZ5S9M2,"https://www.google.com/maps/dir/50.8539788,4.6575586/50.8351501,4.4278432/@50.831451,4.4640784,12z/data=!4m9!4m8!1m5!3m4!1m2!1d4.5833961!2d50.8530063!3s0x47c3df38940e13f1:0xec03a1fa57686fae!1m0!3e0?hl=en&shorturl=1"
596,166,14,https://goo.gl/maps/a5bnPbV5AcR2,"https://www.google.com/maps/dir/50.8711944,4.2872854/50.9299912,4.0178114/@50.8970445,4.0859369,12z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
597,166,15,https://goo.gl/maps/TQj977S7hhH2,"https://www.google.com/maps/dir/50.9299912,4.0178114/50.9707664,3.8427463/@50.9490607,3.895417,13z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
599,166,17,https://goo.gl/maps/dKJgHDn9wnC2,"https://www.google.com/maps/dir/51.0349412,3.639565/51.3278202,3.1846343/@51.1796646,3.2904364,11z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
602,167,3,https://goo.gl/maps/Ae1r6UGGPhL2,"https://www.google.com/maps/dir/51.2976632,12.4350893/51.261361,12.7046802/@51.2742427,12.4919747,12z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
603,167,4,https://goo.gl/maps/ZSqLq8E5htL2,"https://www.google.com/maps/dir/51.261361,12.7046802/51.038648,13.6147253/@51.1718589,12.9777579,10z/data=!4m2!4m1!3e0?hl=en&shorturl=1"
604,167,5,https://goo.gl/maps/ipPgFgscejP2,"https://www.google.be/maps/dir/51.0998955,13.7359331/52.3182902,13.4988473/@51.7257398,13.1358335,9z/data=!4m2!4m1!3e0?hl=en-GB&shorturl=1"
609,167,10,https://goo.gl/maps/rhixQ4TLeaQ2,"https://www.google.be/maps/dir/51.3962306,6.1612536/51.2146275,2.9208214/@51.3821751,3.2392315,8z/data=!4m2!4m1!3e0?hl=en-GB&shorturl=1"
